Antigua & Barbuda,St. John's
Bahamas,Nassau
Barbados,Bridgetown
Belize,Belmopan
Canada,Ottawa
Costa Rica,San Jose
Cuba,Havana
Dominica,Roseau
Dominican-Republic,Santo-Domingo
El Salvador,San Salvador
Granada,Saint-George's
Greenland,Nuuk
Guatemala,Guatemala City
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Jamaica,Kingston
Mexico,Mexico City
Nicaragua,Managua
Panama,Panama City
Saint Kitts & Nevis,Basseterre
Saint Lucia,Castries
Saint Vincent & the Grenadines,Kingstown
Trinidad & Tobago,Port-of-Spain
United States,"Washington, D.C."
